the,8,0.05839416
I,7,0.05109489
Imagine,6,0.04379562
us,4,0.02919708
you,4,0.02919708
all,4,0.02919708
no,4,0.02919708
one,4,0.02919708
m,4,0.02919708
only,3,0.02189781
And,3,0.02189781
for,3,0.02189781
world,3,0.02189781
people,3,0.02189781
s,3,0.02189781
ll,2,0.01459854
hope,2,0.01459854
join,2,0.01459854
if,2,0.01459854
someday,2,0.01459854
as,2,0.01459854
dreamer,2,0.01459854
It,2,0.01459854
not,2,0.01459854
But,2,0.01459854
a,2,0.01459854
No,2,0.01459854
or,2,0.01459854
may,2,0.01459854
will,2,0.01459854
Living,2,0.01459854
say,2,0.01459854
there,2,0.01459854
to,2,0.01459854
You,2,0.01459854
die,1,0.00729927
isn,1,0.00729927
do,1,0.00729927
hell,1,0.00729927
Nothing,1,0.00729927
brotherhood,1,0.00729927
possessions,1,0.00729927
Sharing,1,0.00729927
greed,1,0.00729927
sky,1,0.00729927
need,1,0.00729927
in,1,0.00729927
below,1,0.00729927
countries,1,0.00729927
easy,1,0.00729927
heaven,1,0.00729927
hunger,1,0.00729927
peace,1,0.00729927
try,1,0.00729927
Above,1,0.00729927
A,1,0.00729927
be,1,0.00729927
life,1,0.00729927
can,1,0.00729927
too,1,0.00729927
of,1,0.00729927
today,1,0.00729927
man,1,0.00729927
wonder,1,0.00729927
hard,1,0.00729927
live,1,0.00729927
kill,1,0.00729927
religion,1,0.00729927
t,1,0.00729927
